==20216== NVPROF is profiling process 20216, command: K_medoids_Cuda_v2.exe
==20216== Profiling application: K_medoids_Cuda_v2.exe
==20216== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
533.49ms  1.2800us                    -               -         -         -         -       16B  11.921MB/s      Device      Device  NVIDIA GeForce          1         7  [CUDA memcpy DtoD]
533.49ms  1.2480us                    -               -         -         -         -       16B  12.227MB/s      Device      Device  NVIDIA GeForce          1         7  [CUDA memcpy DtoD]
533.49ms  1.2480us                    -               -         -         -         -       16B  12.227MB/s      Device      Device  NVIDIA GeForce          1         7  [CUDA memcpy DtoD]
533.50ms     448ns                    -               -         -         -         -       80B  170.30MB/s      Device    Pageable  NVIDIA GeForce          1         7  [CUDA memcpy DtoH]
533.62ms  46.562us           (4096 1 1)        (32 1 1)        28        0B        0B         -           -           -           -  NVIDIA GeForce          1         7  calculateClusters(Point*, int, Point*, int, int*) [208]
533.75ms  3.3600us                    -               -         -         -         -  39.063KB  11.087GB/s      Device    Pageable  NVIDIA GeForce          1         7  [CUDA memcpy DtoH]
533.88ms  53.058ms           (4096 1 1)        (32 1 1)        40        0B      256B         -           -           -           -  NVIDIA GeForce          1         7  updateMedoids(Point*, int, Point*, int, int*, double*, int) [211]
587.07ms  6.3680us                    -               -         -         -         -  78.125KB  11.700GB/s      Device    Pageable  NVIDIA GeForce          1         7  [CUDA memcpy DtoH]
587.34ms  1.6960us                    -               -         -         -         -       16B  8.9969MB/s      Device      Device  NVIDIA GeForce          1         7  [CUDA memcpy DtoD]
587.34ms  1.2810us                    -               -         -         -         -       16B  11.912MB/s      Device      Device  NVIDIA GeForce          1         7  [CUDA memcpy DtoD]
587.34ms  1.2490us                    -               -         -         -         -       16B  12.217MB/s      Device      Device  NVIDIA GeForce          1         7  [CUDA memcpy DtoD]
587.34ms  1.2800us                    -               -         -         -         -       16B  11.921MB/s      Device      Device  NVIDIA GeForce          1         7  [CUDA memcpy DtoD]
587.35ms  1.2480us                    -               -         -         -         -       16B  12.227MB/s      Device      Device  NVIDIA GeForce          1         7  [CUDA memcpy DtoD]
587.35ms     448ns                    -               -         -         -         -       80B  170.30MB/s      Device    Pageable  NVIDIA GeForce          1         7  [CUDA memcpy DtoH]
587.43ms  47.266us           (4096 1 1)        (32 1 1)        28        0B        0B         -           -           -           -  NVIDIA GeForce          1         7  calculateClusters(Point*, int, Point*, int, int*) [220]
587.52ms  14.112us                    -               -         -         -         -  39.063KB  2.6398GB/s      Device    Pageable  NVIDIA GeForce          1         7  [CUDA memcpy DtoH]
587.59ms  53.186ms           (4096 1 1)        (32 1 1)        40        0B      256B         -           -           -           -  NVIDIA GeForce          1         7  updateMedoids(Point*, int, Point*, int, int*, double*, int) [223]
640.85ms  6.3680us                    -               -         -         -         -  78.125KB  11.700GB/s      Device    Pageable  NVIDIA GeForce          1         7  [CUDA memcpy DtoH]
641.09ms  1.6970us                    -               -         -         -         -       16B  8.9916MB/s      Device      Device  NVIDIA GeForce          1         7  [CUDA memcpy DtoD]
641.09ms  1.2480us                    -               -         -         -         -       16B  12.227MB/s      Device      Device  NVIDIA GeForce          1         7  [CUDA memcpy DtoD]
641.09ms  1.2480us                    -               -         -         -         -       16B  12.227MB/s      Device      Device  NVIDIA GeForce          1         7  [CUDA memcpy DtoD]
641.10ms  1.2480us                    -               -         -         -         -       16B  12.227MB/s      Device      Device  NVIDIA GeForce          1         7  [CUDA memcpy DtoD]
641.10ms  1.2480us                    -               -         -         -         -       16B  12.227MB/s      Device      Device  NVIDIA GeForce          1         7  [CUDA memcpy DtoD]
641.10ms     448ns                    -               -         -         -         -       80B  170.30MB/s      Device    Pageable  NVIDIA GeForce          1         7  [CUDA memcpy DtoH]
641.19ms  47.458us           (4096 1 1)        (32 1 1)        28        0B        0B         -           -           -           -  NVIDIA GeForce          1         7  calculateClusters(Point*, int, Point*, int, int*) [232]
641.28ms  3.3600us                    -               -         -         -         -  39.063KB  11.087GB/s      Device    Pageable  NVIDIA GeForce          1         7  [CUDA memcpy DtoH]
641.37ms  53.165ms           (4096 1 1)        (32 1 1)        40        0B      256B         -           -           -           -  NVIDIA GeForce          1         7  updateMedoids(Point*, int, Point*, int, int*, double*, int) [235]
694.69ms  6.3690us                    -               -         -         -         -  78.125KB  11.698GB/s      Device    Pageable  NVIDIA GeForce          1         7  [CUDA memcpy DtoH]
694.95ms  1.6960us                    -               -         -         -         -       16B  8.9969MB/s      Device      Device  NVIDIA GeForce          1         7  [CUDA memcpy DtoD]
694.95ms  1.2800us                    -               -         -         -         -       16B  11.921MB/s      Device      Device  NVIDIA GeForce          1         7  [CUDA memcpy DtoD]
694.95ms  1.2480us                    -               -         -         -         -       16B  12.227MB/s      Device      Device  NVIDIA GeForce          1         7  [CUDA memcpy DtoD]
694.95ms  1.2480us                    -               -         -         -         -       16B  12.227MB/s      Device      Device  NVIDIA GeForce          1         7  [CUDA memcpy DtoD]
694.96ms  1.2800us                    -               -         -         -         -       16B  11.921MB/s      Device      Device  NVIDIA GeForce          1         7  [CUDA memcpy DtoD]
